TransactionID,Date,CustomerID,Region,Category,Product,Quantity,UnitPrice,Discount,TotalRevenue
TXN-10001,2024-01-29,CUST-428,East,Technology,Edge Router,8,616,12%,4336.64
TXN-10002,2024-01-25,CUST-466,East,Technology,Edge Router,3,799,15%,2037.45
TXN-10003,2024-02-24,CUST-385,Central,Office Supplies,Paper White,7,1774,8%,11424.56
TXN-10004,2024-01-12,CUST-298,West,Technology,Neural Tablet,4,898,18%,2945.44
TXN-10005,2024-01-19,CUST-124,East,Technology,Laptop Pro,2,1469,20%,2350.4
TXN-10006,2024-01-23,CUST-224,Central,Furniture,Velvet Ottoman,10,861,9%,7835.1
TXN-10007,2024-03-04,CUST-251,East,Furniture,Velvet Ottoman,10,1151,8%,10589.2
TXN-10008,2024-03-22,CUST-161,North,Furniture,Minimalist Sofa,5,1534,8%,7056.4
TXN-10009,2024-02-11,CUST-448,East,Furniture,Oak Sideboard,4,955,12%,3361.6
TXN-10010,2024-03-20,CUST-800,East,Office Supplies,Ergo Chair,7,350,11%,2180.5
TXN-10011,2024-03-09,CUST-428,Central,Furniture,Oak Sideboard,11,2027,4%,21405.12
TXN-10012,2024-01-02,CUST-719,North,Furniture,Velvet Ottoman,10,1685,18%,13817.0
TXN-10013,2024-02-20,CUST-909,Central,Technology,Edge Router,12,2430,13%,25369.2
TXN-10014,2024-01-12,CUST-923,East,Office Supplies,Executive Desk,9,1336,19%,9739.44
TXN-10015,2024-01-23,CUST-286,South,Office Supplies,Executive Desk,10,1200,6%,11280.0
TXN-10016,2024-03-12,CUST-452,North,Technology,Edge Router,9,438,10%,3547.8
TXN-10017,2024-01-15,CUST-300,North,Office Supplies,Executive Desk,1,1507,19%,1220.67
TXN-10018,2024-01-16,CUST-425,East,Office Supplies,Executive Desk,13,1908,20%,19843.2
TXN-10019,2024-02-16,CUST-884,North,Furniture,Velvet Ottoman,9,185,15%,1415.25
TXN-10020,2024-03-24,CUST-971,North,Furniture,Minimalist Sofa,12,787,17%,7838.52
TXN-10021,2024-03-27,CUST-541,North,Office Supplies,Paper White,5,2118,6%,9954.6
TXN-10022,2024-01-11,CUST-812,Central,Furniture,Velvet Ottoman,5,1222,3%,5926.7
TXN-10023,2024-01-10,CUST-739,South,Furniture,Oak Sideboard,8,1927,10%,13874.4
TXN-10024,2024-03-05,CUST-279,Central,Office Supplies,Ergo Chair,3,1910,9%,5214.3
TXN-10025,2024-02-24,CUST-490,North,Office Supplies,Smart Ledger,5,1136,9%,5168.8
TXN-10026,2024-02-09,CUST-531,North,Office Supplies,Executive Desk,8,582,10%,4190.4
TXN-10027,2024-03-26,CUST-649,Central,Luxury Goods,Crystal Decanter,12,2039,17%,20308.44
TXN-10028,2024-01-06,CUST-773,West,Luxury Goods,Gold Pen Set,12,1997,13%,20848.68
TXN-10029,2024-02-12,CUST-789,North,Luxury Goods,Leather Portfolio,7,1765,7%,11490.15
TXN-10030,2024-01-25,CUST-609,South,Luxury Goods,Crystal Decanter,4,1940,10%,6984.0
TXN-10031,2024-01-05,CUST-512,West,Technology,Edge Router,13,481,1%,6190.47
TXN-10032,2024-02-17,CUST-532,South,Technology,Edge Router,15,2028,3%,29507.4
TXN-10033,2024-02-02,CUST-978,East,Luxury Goods,Silk Pocket Square,5,1982,18%,8126.2
TXN-10034,2024-01-11,CUST-738,South,Furniture,Velvet Ottoman,13,2094,8%,25044.24
TXN-10035,2024-01-26,CUST-691,North,Furniture,Oak Sideboard,6,2122,4%,12222.72
TXN-10036,2024-03-14,CUST-107,South,Furniture,Velvet Ottoman,11,1387,16%,12815.88
TXN-10037,2024-01-20,CUST-469,South,Technology,Laptop Pro,14,2092,8%,26944.96
TXN-10038,2024-03-05,CUST-665,West,Technology,Neural Tablet,4,1688,4%,6481.92
TXN-10039,2024-03-18,CUST-899,East,Technology,Edge Router,9,1445,14%,11184.3
TXN-10040,2024-03-03,CUST-396,Central,Furniture,Velvet Ottoman,4,1062,13%,3695.76
TXN-10041,2024-02-14,CUST-603,South,Luxury Goods,Silk Pocket Square,5,2126,12%,9354.4
TXN-10042,2024-03-27,CUST-547,North,Technology,Neural Tablet,14,1713,9%,21823.62
TXN-10043,2024-01-24,CUST-532,East,Office Supplies,Paper White,1,277,6%,260.38
TXN-10044,2024-03-01,CUST-189,West,Furniture,Velvet Ottoman,2,2385,1%,4722.3
TXN-10045,2024-03-31,CUST-592,West,Luxury Goods,Silk Pocket Square,11,1122,8%,11354.64
TXN-10046,2024-01-25,CUST-910,South,Luxury Goods,Silk Pocket Square,9,1328,14%,10278.72
TXN-10047,2024-02-22,CUST-514,East,Luxury Goods,Crystal Decanter,2,2379,4%,4567.68
TXN-10048,2024-01-06,CUST-714,Central,Furniture,Velvet Ottoman,11,686,10%,6791.4
TXN-10049,2024-03-15,CUST-578,North,Luxury Goods,Crystal Decanter,6,924,6%,5211.36
TXN-10050,2024-02-28,CUST-291,North,Luxury Goods,Silk Pocket Square,11,2125,18%,19167.5
TXN-10051,2024-03-16,CUST-932,South,Furniture,Oak Sideboard,5,2067,13%,8991.45
TXN-10052,2024-03-09,CUST-328,East,Luxury Goods,Silk Pocket Square,14,2041,20%,22859.2
TXN-10053,2024-01-17,CUST-776,East,Luxury Goods,Crystal Decanter,8,964,10%,6940.8
TXN-10054,2024-01-19,CUST-935,South,Technology,Quant-Watch,2,2133,3%,4138.02
TXN-10055,2024-03-19,CUST-248,East,Technology,Neural Tablet,4,173,13%,602.04
TXN-10056,2024-02-16,CUST-756,West,Technology,Neural Tablet,7,1597,11%,9949.31
TXN-10057,2024-01-31,CUST-119,North,Furniture,Velvet Ottoman,10,2330,13%,20271.0
TXN-10058,2024-03-19,CUST-378,Central,Technology,Quant-Watch,15,1871,6%,26381.1
TXN-10059,2024-01-23,CUST-634,Central,Furniture,Minimalist Sofa,9,2191,4%,18930.24
TXN-10060,2024-02-11,CUST-583,South,Luxury Goods,Leather Portfolio,13,1979,6%,24183.38
TXN-10061,2024-01-28,CUST-887,West,Technology,Edge Router,4,2472,1%,9789.12
TXN-10062,2024-03-28,CUST-826,East,Luxury Goods,Gold Pen Set,11,238,11%,2330.02
TXN-10063,2024-02-27,CUST-953,East,Luxury Goods,Gold Pen Set,1,1051,7%,977.43
TXN-10064,2024-01-27,CUST-115,West,Office Supplies,Paper White,2,1573,3%,3051.62
TXN-10065,2024-02-05,CUST-555,North,Technology,Laptop Pro,1,1018,7%,946.74
TXN-10066,2024-01-03,CUST-424,North,Luxury Goods,Crystal Decanter,6,1148,15%,5854.8
TXN-10067,2024-01-07,CUST-491,Central,Luxury Goods,Silk Pocket Square,10,1274,17%,10574.2
TXN-10068,2024-01-09,CUST-521,South,Luxury Goods,Silk Pocket Square,12,2036,10%,21988.8
TXN-10069,2024-01-28,CUST-470,Central,Office Supplies,Smart Ledger,14,848,2%,11634.56
TXN-10070,2024-03-01,CUST-899,West,Office Supplies,Executive Desk,9,1491,14%,11540.34
TXN-10071,2024-01-31,CUST-940,West,Office Supplies,Smart Ledger,4,1402,0%,5608.0
TXN-10072,2024-01-29,CUST-482,South,Office Supplies,Executive Desk,3,108,14%,278.64
TXN-10073,2024-02-12,CUST-475,Central,Luxury Goods,Gold Pen Set,2,2212,7%,4114.32
TXN-10074,2024-03-27,CUST-312,North,Furniture,Velvet Ottoman,7,1919,10%,12089.7
TXN-10075,2024-02-27,CUST-969,Central,Luxury Goods,Leather Portfolio,12,1976,17%,19680.96
TXN-10076,2024-01-25,CUST-532,North,Furniture,Glass Table,10,2317,2%,22706.6
TXN-10077,2024-01-19,CUST-470,West,Office Supplies,Smart Ledger,5,1353,17%,5614.95
TXN-10078,2024-03-07,CUST-857,Central,Office Supplies,Smart Ledger,6,2463,6%,13891.32
TXN-10079,2024-01-07,CUST-317,South,Luxury Goods,Leather Portfolio,1,1314,6%,1235.16
TXN-10080,2024-02-22,CUST-108,North,Technology,Neural Tablet,6,1784,19%,8670.24
TXN-10081,2024-03-26,CUST-130,Central,Furniture,Oak Sideboard,11,2150,13%,20575.5
TXN-10082,2024-02-03,CUST-332,North,Technology,Laptop Pro,8,315,18%,2066.4
TXN-10083,2024-01-07,CUST-251,Central,Technology,Laptop Pro,7,2056,8%,13240.64
TXN-10084,2024-01-02,CUST-673,Central,Technology,Laptop Pro,14,1558,15%,18540.2
TXN-10085,2024-01-30,CUST-351,South,Luxury Goods,Crystal Decanter,4,1900,6%,7144.0
TXN-10086,2024-02-25,CUST-856,Central,Office Supplies,Ergo Chair,9,1391,20%,10015.2
TXN-10087,2024-03-19,CUST-649,Central,Technology,Quant-Watch,15,798,8%,11012.4
TXN-10088,2024-01-29,CUST-804,East,Luxury Goods,Gold Pen Set,7,2187,5%,14543.55
TXN-10089,2024-01-16,CUST-724,East,Furniture,Glass Table,10,2245,14%,19307.0
TXN-10090,2024-01-17,CUST-541,Central,Office Supplies,Paper White,6,680,8%,3753.6
TXN-10091,2024-01-11,CUST-227,West,Luxury Goods,Gold Pen Set,11,1232,18%,11112.64
TXN-10092,2024-01-12,CUST-504,North,Office Supplies,Smart Ledger,9,788,0%,7092.0
TXN-10093,2024-03-07,CUST-727,North,Office Supplies,Ergo Chair,14,1908,2%,26177.76
TXN-10094,2024-02-10,CUST-209,North,Office Supplies,Paper White,4,892,11%,3175.52
TXN-10095,2024-02-05,CUST-381,West,Luxury Goods,Leather Portfolio,9,958,2%,8449.56
TXN-10096,2024-02-14,CUST-959,North,Office Supplies,Paper White,8,1084,15%,7371.2
TXN-10097,2024-01-06,CUST-783,South,Office Supplies,Ergo Chair,6,1323,14%,6826.68
TXN-10098,2024-02-26,CUST-848,East,Furniture,Velvet Ottoman,2,1894,3%,3674.36
TXN-10099,2024-03-05,CUST-409,Central,Office Supplies,Smart Ledger,8,2296,9%,16714.88
TXN-10100,2024-03-28,CUST-741,East,Luxury Goods,Leather Portfolio,2,1015,10%,1827.0
TXN-10101,2024-03-18,CUST-114,North,Furniture,Glass Table,1,1524,1%,1508.76
TXN-10102,2024-03-07,CUST-485,West,Technology,Neural Tablet,13,912,11%,10551.84
TXN-10103,2024-01-22,CUST-552,South,Luxury Goods,Silk Pocket Square,1,1857,4%,1782.72
TXN-10104,2024-02-07,CUST-399,North,Office Supplies,Executive Desk,11,2068,6%,21383.12
TXN-10105,2024-01-18,CUST-423,South,Office Supplies,Paper White,10,206,2%,2018.8
TXN-10106,2024-02-04,CUST-487,North,Furniture,Minimalist Sofa,9,597,6%,5050.62
TXN-10107,2024-01-09,CUST-107,Central,Furniture,Glass Table,3,1694,5%,4827.9
TXN-10108,2024-03-21,CUST-779,Central,Office Supplies,Paper White,12,1582,1%,18794.16
TXN-10109,2024-02-14,CUST-616,North,Technology,Laptop Pro,2,302,17%,501.32
TXN-10110,2024-01-24,CUST-533,West,Office Supplies,Executive Desk,13,1874,11%,21682.18
TXN-10111,2024-01-19,CUST-780,West,Technology,Quant-Watch,2,1319,9%,2400.58
TXN-10112,2024-01-03,CUST-244,South,Luxury Goods,Crystal Decanter,11,1223,14%,11569.58
TXN-10113,2024-01-05,CUST-762,South,Furniture,Glass Table,4,1091,18%,3578.48
TXN-10114,2024-02-29,CUST-480,West,Technology,Neural Tablet,4,1863,7%,6930.36
TXN-10115,2024-02-17,CUST-402,East,Office Supplies,Executive Desk,4,1988,4%,7633.92
TXN-10116,2024-03-31,CUST-595,South,Office Supplies,Executive Desk,11,1450,3%,15471.5
TXN-10117,2024-02-14,CUST-378,West,Technology,Edge Router,9,1192,3%,10406.16
TXN-10118,2024-02-24,CUST-685,Central,Luxury Goods,Crystal Decanter,9,610,19%,4446.9
TXN-10119,2024-03-19,CUST-987,Central,Luxury Goods,Leather Portfolio,9,200,14%,1548.0
TXN-10120,2024-01-08,CUST-664,Central,Furniture,Minimalist Sofa,9,2099,9%,17190.81
TXN-10121,2024-02-01,CUST-320,Central,Office Supplies,Smart Ledger,4,641,4%,2461.44
TXN-10122,2024-03-05,CUST-939,West,Luxury Goods,Silk Pocket Square,1,493,8%,453.56
TXN-10123,2024-01-26,CUST-821,South,Furniture,Minimalist Sofa,11,2094,13%,20039.58
TXN-10124,2024-03-07,CUST-892,East,Office Supplies,Ergo Chair,2,1847,19%,2992.14
TXN-10125,2024-03-16,CUST-339,West,Technology,Neural Tablet,7,1186,2%,8135.96
TXN-10126,2024-01-03,CUST-200,South,Technology,Quant-Watch,6,878,10%,4741.2
TXN-10127,2024-03-13,CUST-130,Central,Furniture,Oak Sideboard,12,874,1%,10383.12
TXN-10128,2024-01-02,CUST-624,South,Luxury Goods,Leather Portfolio,3,1483,1%,4404.51
TXN-10129,2024-03-21,CUST-455,West,Furniture,Glass Table,14,1451,16%,17063.76
TXN-10130,2024-01-11,CUST-104,South,Furniture,Velvet Ottoman,10,822,1%,8137.8
TXN-10131,2024-03-22,CUST-977,North,Luxury Goods,Gold Pen Set,1,2022,7%,1880.46
TXN-10132,2024-01-23,CUST-967,West,Office Supplies,Paper White,5,2363,6%,11106.1
TXN-10133,2024-02-18,CUST-712,West,Luxury Goods,Leather Portfolio,8,1114,0%,8912.0
TXN-10134,2024-03-04,CUST-666,East,Furniture,Glass Table,10,2261,15%,19218.5
TXN-10135,2024-03-09,CUST-353,North,Technology,Quant-Watch,6,2084,7%,11628.72
TXN-10136,2024-01-10,CUST-979,Central,Office Supplies,Ergo Chair,12,882,20%,8467.2
TXN-10137,2024-01-30,CUST-494,Central,Technology,Quant-Watch,4,513,18%,1682.64
TXN-10138,2024-03-18,CUST-660,Central,Office Supplies,Smart Ledger,2,1788,9%,3254.16
TXN-10139,2024-02-10,CUST-551,Central,Technology,Edge Router,12,556,16%,5604.48
TXN-10140,2024-01-19,CUST-994,North,Luxury Goods,Gold Pen Set,2,1634,14%,2810.48
TXN-10141,2024-02-13,CUST-710,West,Furniture,Velvet Ottoman,9,1243,8%,10292.04
TXN-10142,2024-01-01,CUST-144,West,Office Supplies,Paper White,12,1111,4%,12798.72
TXN-10143,2024-02-29,CUST-249,West,Furniture,Glass Table,7,1069,17%,6210.89
TXN-10144,2024-01-18,CUST-539,North,Luxury Goods,Gold Pen Set,3,1616,10%,4363.2
TXN-10145,2024-01-19,CUST-428,East,Office Supplies,Smart Ledger,15,1070,4%,15408.0
TXN-10146,2024-03-16,CUST-578,South,Office Supplies,Executive Desk,11,1580,5%,16511.0
TXN-10147,2024-03-22,CUST-142,North,Office Supplies,Smart Ledger,1,839,3%,813.83
TXN-10148,2024-01-03,CUST-922,North,Luxury Goods,Crystal Decanter,1,506,7%,470.58
TXN-10149,2024-01-09,CUST-257,North,Office Supplies,Paper White,13,1106,4%,13802.88
TXN-10150,2024-03-15,CUST-159,West,Luxury Goods,Silk Pocket Square,12,1586,12%,16748.16
TXN-10151,2024-03-04,CUST-619,East,Office Supplies,Smart Ledger,15,1651,2%,24269.7
TXN-10152,2024-02-05,CUST-897,West,Furniture,Glass Table,15,1445,15%,18423.75
TXN-10153,2024-02-12,CUST-395,West,Office Supplies,Paper White,3,2451,12%,6470.64
TXN-10154,2024-01-30,CUST-513,East,Office Supplies,Ergo Chair,3,576,10%,1555.2
TXN-10155,2024-01-30,CUST-547,South,Luxury Goods,Gold Pen Set,7,469,17%,2724.89
TXN-10156,2024-01-27,CUST-762,North,Technology,Laptop Pro,10,962,10%,8658.0
TXN-10157,2024-03-03,CUST-385,South,Office Supplies,Executive Desk,14,569,0%,7966.0
TXN-10158,2024-03-26,CUST-675,West,Luxury Goods,Silk Pocket Square,12,204,18%,2007.36
TXN-10159,2024-02-02,CUST-642,Central,Furniture,Oak Sideboard,15,1915,9%,26139.75
TXN-10160,2024-02-02,CUST-837,Central,Furniture,Glass Table,1,2386,16%,2004.24
TXN-10161,2024-03-17,CUST-273,South,Technology,Laptop Pro,3,733,17%,1825.17
TXN-10162,2024-03-25,CUST-194,West,Furniture,Oak Sideboard,10,2256,14%,19401.6
TXN-10163,2024-03-21,CUST-193,East,Technology,Neural Tablet,10,1955,5%,18572.5
TXN-10164,2024-03-13,CUST-943,Central,Office Supplies,Paper White,8,1990,8%,14646.4
TXN-10165,2024-03-13,CUST-341,East,Luxury Goods,Crystal Decanter,13,1657,6%,20248.54
TXN-10166,2024-03-12,CUST-375,East,Furniture,Minimalist Sofa,15,204,9%,2784.6
TXN-10167,2024-01-17,CUST-992,Central,Luxury Goods,Gold Pen Set,7,967,7%,6295.17
TXN-10168,2024-01-22,CUST-783,West,Furniture,Glass Table,10,454,14%,3904.4
TXN-10169,2024-03-19,CUST-442,Central,Technology,Edge Router,12,1247,15%,12719.4
TXN-10170,2024-02-29,CUST-897,Central,Furniture,Minimalist Sofa,14,835,1%,11573.1
TXN-10171,2024-01-30,CUST-352,South,Luxury Goods,Crystal Decanter,12,2041,12%,21552.96
TXN-10172,2024-03-03,CUST-639,North,Luxury Goods,Crystal Decanter,3,1567,3%,4559.97
TXN-10173,2024-02-17,CUST-674,East,Furniture,Velvet Ottoman,3,2313,18%,5689.98
TXN-10174,2024-01-23,CUST-576,North,Technology,Laptop Pro,14,2090,18%,23993.2
TXN-10175,2024-02-23,CUST-930,East,Office Supplies,Smart Ledger,14,505,10%,6363.0
TXN-10176,2024-03-30,CUST-526,East,Luxury Goods,Leather Portfolio,3,2176,18%,5352.96
TXN-10177,2024-01-21,CUST-625,East,Furniture,Velvet Ottoman,4,896,14%,3082.24
TXN-10178,2024-01-07,CUST-558,West,Technology,Neural Tablet,14,1727,10%,21760.2
TXN-10179,2024-01-11,CUST-904,East,Office Supplies,Smart Ledger,4,2146,18%,7038.88
TXN-10180,2024-03-21,CUST-580,Central,Luxury Goods,Gold Pen Set,3,220,11%,587.4
TXN-10181,2024-02-14,CUST-710,West,Office Supplies,Paper White,9,466,7%,3900.42
TXN-10182,2024-01-04,CUST-936,Central,Technology,Edge Router,15,1696,11%,22641.6
TXN-10183,2024-03-26,CUST-235,West,Technology,Edge Router,15,859,17%,10694.55
TXN-10184,2024-03-08,CUST-188,South,Office Supplies,Ergo Chair,2,352,0%,704.0
TXN-10185,2024-01-27,CUST-614,West,Furniture,Minimalist Sofa,8,834,7%,6204.96
TXN-10186,2024-03-01,CUST-863,North,Luxury Goods,Leather Portfolio,6,2021,6%,11398.44
TXN-10187,2024-01-02,CUST-168,South,Office Supplies,Executive Desk,13,323,9%,3821.09
TXN-10188,2024-01-20,CUST-769,North,Technology,Quant-Watch,6,469,8%,2588.88
TXN-10189,2024-01-18,CUST-336,South,Office Supplies,Paper White,2,396,19%,641.52
TXN-10190,2024-01-31,CUST-116,West,Furniture,Oak Sideboard,4,2388,14%,8214.72
TXN-10191,2024-02-29,CUST-455,South,Technology,Edge Router,2,1223,10%,2201.4
TXN-10192,2024-03-15,CUST-632,South,Technology,Neural Tablet,8,1280,19%,8294.4
TXN-10193,2024-02-27,CUST-140,East,Office Supplies,Executive Desk,8,112,4%,860.16
TXN-10194,2024-01-03,CUST-991,South,Luxury Goods,Silk Pocket Square,2,1841,17%,3056.06
TXN-10195,2024-02-11,CUST-896,Central,Technology,Edge Router,15,192,2%,2822.4
TXN-10196,2024-02-08,CUST-934,North,Technology,Edge Router,6,677,0%,4062.0
TXN-10197,2024-01-14,CUST-947,West,Luxury Goods,Crystal Decanter,7,945,11%,5887.35
TXN-10198,2024-03-08,CUST-800,Central,Furniture,Oak Sideboard,7,232,5%,1542.8
TXN-10199,2024-03-01,CUST-848,Central,Furniture,Glass Table,11,2060,6%,21300.4
TXN-10200,2024-01-10,CUST-581,Central,Office Supplies,Paper White,10,283,7%,2631.9
TXN-10201,2024-02-25,CUST-225,East,Office Supplies,Smart Ledger,10,1856,0%,18560.0
TXN-10202,2024-02-07,CUST-408,East,Luxury Goods,Leather Portfolio,15,566,0%,8490.0
TXN-10203,2024-01-06,CUST-218,Central,Office Supplies,Ergo Chair,12,476,6%,5369.28
TXN-10204,2024-01-13,CUST-145,West,Furniture,Velvet Ottoman,9,326,3%,2845.98
TXN-10205,2024-01-16,CUST-228,North,Technology,Quant-Watch,13,278,13%,3144.18
TXN-10206,2024-03-17,CUST-405,East,Luxury Goods,Silk Pocket Square,15,1086,11%,14498.1
TXN-10207,2024-01-02,CUST-860,North,Office Supplies,Executive Desk,7,1620,12%,9979.2
TXN-10208,2024-02-24,CUST-422,South,Furniture,Velvet Ottoman,13,788,12%,9014.72
TXN-10209,2024-03-10,CUST-922,West,Luxury Goods,Crystal Decanter,13,1011,3%,12748.71
TXN-10210,2024-03-21,CUST-967,South,Luxury Goods,Leather Portfolio,7,1606,5%,10679.9
TXN-10211,2024-01-12,CUST-644,South,Furniture,Minimalist Sofa,14,1956,17%,22728.72
TXN-10212,2024-01-26,CUST-783,East,Technology,Edge Router,9,908,19%,6619.32
TXN-10213,2024-03-28,CUST-319,West,Technology,Laptop Pro,13,1820,16%,19874.4
TXN-10214,2024-01-02,CUST-338,Central,Office Supplies,Executive Desk,14,1842,19%,20888.28
TXN-10215,2024-03-25,CUST-945,West,Technology,Quant-Watch,9,1512,8%,12519.36
TXN-10216,2024-02-02,CUST-117,North,Technology,Quant-Watch,13,2411,4%,30089.28
TXN-10217,2024-01-01,CUST-684,North,Technology,Laptop Pro,10,245,15%,2082.5
TXN-10218,2024-01-27,CUST-227,Central,Furniture,Oak Sideboard,9,2294,11%,18374.94
TXN-10219,2024-03-22,CUST-462,East,Office Supplies,Paper White,5,1658,7%,7709.7
TXN-10220,2024-02-19,CUST-711,Central,Office Supplies,Ergo Chair,11,1197,1%,13035.33
TXN-10221,2024-02-06,CUST-847,East,Luxury Goods,Leather Portfolio,11,447,13%,4277.79
TXN-10222,2024-01-25,CUST-110,West,Technology,Laptop Pro,8,149,3%,1156.24
TXN-10223,2024-03-16,CUST-792,East,Office Supplies,Paper White,7,2436,10%,15346.8
TXN-10224,2024-02-13,CUST-382,South,Luxury Goods,Crystal Decanter,13,1526,2%,19441.24
TXN-10225,2024-03-04,CUST-486,West,Luxury Goods,Gold Pen Set,5,1113,2%,5453.7
TXN-10226,2024-02-06,CUST-586,East,Luxury Goods,Leather Portfolio,1,1658,15%,1409.3
TXN-10227,2024-01-13,CUST-913,South,Furniture,Glass Table,2,1440,4%,2764.8
TXN-10228,2024-01-24,CUST-168,North,Office Supplies,Smart Ledger,6,1753,0%,10518.0
TXN-10229,2024-01-25,CUST-164,West,Technology,Laptop Pro,13,1985,15%,21934.25
TXN-10230,2024-03-29,CUST-739,East,Furniture,Oak Sideboard,4,568,17%,1885.76
TXN-10231,2024-01-14,CUST-641,North,Technology,Edge Router,7,295,8%,1899.8
TXN-10232,2024-01-01,CUST-724,East,Technology,Neural Tablet,11,2486,13%,23791.02
TXN-10233,2024-02-13,CUST-916,South,Office Supplies,Smart Ledger,13,1812,5%,22378.2
TXN-10234,2024-02-05,CUST-348,West,Technology,Laptop Pro,3,362,10%,977.4
TXN-10235,2024-03-21,CUST-855,West,Luxury Goods,Leather Portfolio,2,1337,16%,2246.16
TXN-10236,2024-03-28,CUST-335,North,Luxury Goods,Gold Pen Set,12,355,1%,4217.4
TXN-10237,2024-03-21,CUST-261,North,Office Supplies,Executive Desk,3,1317,7%,3674.43
TXN-10238,2024-01-14,CUST-909,East,Technology,Laptop Pro,7,1531,0%,10717.0
TXN-10239,2024-01-05,CUST-425,South,Office Supplies,Paper White,1,580,2%,568.4
TXN-10240,2024-01-30,CUST-369,West,Furniture,Glass Table,7,1156,14%,6959.12
TXN-10241,2024-02-11,CUST-760,North,Luxury Goods,Crystal Decanter,12,2337,6%,26361.36
TXN-10242,2024-02-13,CUST-388,West,Luxury Goods,Gold Pen Set,9,374,17%,2793.78
TXN-10243,2024-02-19,CUST-559,South,Furniture,Velvet Ottoman,3,1175,5%,3348.75
TXN-10244,2024-01-07,CUST-251,East,Luxury Goods,Gold Pen Set,14,1860,14%,22394.4
TXN-10245,2024-01-20,CUST-719,East,Office Supplies,Ergo Chair,10,2477,4%,23779.2
TXN-10246,2024-01-17,CUST-712,West,Office Supplies,Ergo Chair,4,145,13%,504.6
TXN-10247,2024-01-09,CUST-583,Central,Technology,Edge Router,4,1420,7%,5282.4
TXN-10248,2024-02-15,CUST-294,Central,Furniture,Minimalist Sofa,11,1017,2%,10963.26
